"","x"
"79","RT @SraPatalogica: O Frota chamou a Sheherazade de “prostituta” por ela ter feito uma mínima crítica a Bolsonaro, daí a gente percebe o nív…"
"80","RT @BernardoMF: Deputado há 27 anos, Bolsonaro vende a ideia de que é diferente dos outros políticos. Isso explica seu descontrole quando a…"
"81","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"82","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"83","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"84","@folha @Miltonneves Nem pagando a imprensa p/ bater diariamente no Bolsonaro. Mesmo válido p/ demais partidos de esquerda. Pela atenção, obg"
"85","RT @perereco: Da próxima vez, a Folha tem que mandar uma criança de 9 anos pra entrevistar o Bolsonaro

- eu não uso auxílio moradia
- nhen…"
"86","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"87","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"88","@PatoCorporation Fiz um passeio com parentes, e um deles, eleitor de bolsonaro! Perdi a linha! Não fui deselegante,… https://t.co/8g4rHAjDiv"
"89","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"90","quem vota no bolsonaro tem lulofobia
vc n pode falar do bolsonaro q a pessoa ja vem ""a mas o lula"" sem nem vc ter tocado no nome do lula"
"91","RT @perereco: Da próxima vez, a Folha tem que mandar uma criança de 9 anos pra entrevistar o Bolsonaro

- eu não uso auxílio moradia
- nhen…"
"92","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"93","Gostei de um vídeo @YouTube https://t.co/zWR6Ijur2Y INTIMAM FORÇAS ARMADAS BRASILEIRAS , BOLSONARO"
"94","RT @Dudu: Xingamento do futuro:

E você que teve foto criança com camisa do Bolsonaro? https://t.co/qQjadG9s46"
"95","RT @PietraFerreir16: O Bolsonaro diz que é contra ataques pessoais e a favor da liberdade de expressão.

Eis a pérola do Fernando deixada n…"
"96","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"97","RT @CarlosBolsonaro: A VERDADE: Bolsonaro não é populista, mas popular! Monta equipe economica com ideias de desburocratização, menos impos…"
"98","vi o outdoor do bolsonaro e me deu uma vergonha alheia tao grande de morar aq pqp o povo daqui eh doente so pode"
"99","@wagnerdisousa @reinaldoazevedo Juntar a soma de 3 pra dar um valor q possa ser anunciado como algo grandioso não é… https://t.co/tUn4evUVoG"
"100","RT @perereco: Da próxima vez, a Folha tem que mandar uma criança de 9 anos pra entrevistar o Bolsonaro

- eu não uso auxílio moradia
- nhen…"
"101","@BelCarvalho5 @Gui_iah @macunaimaz @Athiabalba @chauireaca @kk_firmino Porque Bolsonaro não tira da gaveta a PEC 28… https://t.co/iIPqoZGARM"
"102","RT @RenovaMidia: #BRASIL: Rodrigo Maia nega candidatura e diz não crer em vitória de Lula ou Bolsonaro https://t.co/UMo35IjJRP https://t.co…"
