"","x"
"399","@Gomessin @tuliomesmo Nota-se q vc realmente não conhece  NADA da trajetória do Bolsonaro, ele sempre foi a ÚNICA b… https://t.co/6sjrsliFN2"
"400","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"401","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"402","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"403","Gostei de um vídeo @YouTube https://t.co/geJHZt9o6p DE SP: ""JAIR BOLSONARO ROUBAVA JABUTICABA AOS 7 ANOS DE IDADE"""
"404","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"405","RT @edmilsonpapo10: Até o momento tenho plena convicção do meu voto no Bolsonaro, já sabia que ele sofreria mtos ataques, faz parte do jogo…"
"406","RT @BrothersDireita: Brasileiros e brasileiras..
Minha gente...

Ninguém tá esperando que bolsonaro seja perfeito..mas ele é o único que es…"
"407","igual Bolsonaro https://t.co/q0N7ZUv9ua"
"408","RT @fazamor: TEM VÍDEO DO BOLSONARO COMEDOR DE GENTE https://t.co/irvMfAQ6GK"
"409","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"410","RT @visaomacro: Mais uma vez estão olhando uma árvore e esquecendo a floresta. Estão falando do gasto do Bolsonaro com passagem aérea mas e…"
"411","@ajulysantos Eu irei votar no Bolsonaro... Por falta de opção...  Mais não defendo. Fico preocupado com esse fanati… https://t.co/Zit0sC90DI"
"412","RT @GABRlELPlNHElRO: @pauloap O cara fala que o Bolsonaro é parecido com o Lula porque usa camisa de time  https://t.co/LNH8TOi3QN"
"413","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"414","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"415","RT @pauloap: O Bolsonaro compra roupa na mesma loja que o velho rival do Canarinho na Praça HAHAHAHAHAHAHAHAHA https://t.co/ILq3tzAlbe"
"416","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"417","RT @FOlCEDESP: Bolsonaro estaria dando dinheiro público para chineses https://t.co/sSl9m5VjfG"
"418","RT @Mandinha_PB: @Estadao @veramagalhaes O CHORO É LIVRE, E A PREFERÊNCIA/VOTO DE CADA UM TAMBÉM! JÁ NÃO BASTA AS FRAUDES NAS URNAS E A IMP…"
"419","@tuliomesmo JAIR(SE ACOSTUMANDO)BOLSONARO VAI SE ELEGER SE NÃO CAIR NA ARMADILHA NESSA CORJA DE TERRORISTAS. ALCKMI… https://t.co/YT34uymZNs"
"420","Apoiadores convocam para ""inauguração do outdoor de Jair Bolsonaro em Assú"" https://t.co/ZJjFEEiRkt"
"421","Sinceramente, não sei se consigo viver em um país onde a democracia é representada por um extrema-direita (babaca) como o Bolsonaro"
"422","@GOMES011987 @apyus Não tô preocupado com o Holiday. Tô preocupado com a postura do Bolsonaro. Ele deveria pedir pr… https://t.co/4RNLO9nCOW"
"423","@danielvfreitas É igual ao centro. Se lançar 2, 3, pode dar zebra. Mas os caras sabem disso melhor do que nós. Bols… https://t.co/XsfVNVLxmK"
"424","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"425","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"426","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"427","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"428","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"429","@BlogdoNoblat Parabéns, seguidores do Bolsonaro, pela mobilização."
"430","RT @folhape: FOGO CRUZADO - Por Inaldo Sampaio | Bolsonaro repete Collor e já tem palanque em Pernambuco
https://t.co/KQsqlm9HOr https://t.…"
"431","RT @henriolliveira: Respeito quem não vota em Bolsonaro, LÓGICO.

Tenho amigos como @pdevechi e @ajulysantos que cito como exemplos.

Não s…"
"432","RT @mafiasummer: Esse final de semana eu refleti sobre porque eu vou votar no Bolsonaro e cheguei à algumas conclusões. 

Eu poderia votar…"
"433","RT @BlogdoNoblat: E o deputado Jair Bolsonaro, hein? Como vai indo?"
"434","RT @FranRenno: Matheus Faria Carneiro, namorado de Rachel Sherazade, é registrador civil e tabelião titular do Ofício do 2º Distrito de Ang…"
"435","RT @visaomacro: Mais uma vez estão olhando uma árvore e esquecendo a floresta. Estão falando do gasto do Bolsonaro com passagem aérea mas e…"
"436","RT @Lucy_rebolativa: Meninas, eu estava esperando me deparar com bolsominion justificando a corrupção de Bolsonaro... <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7>
Mas não esperava CU…"
"437","RT @DeputadoFederal: Não se iludam com a grande mídia atacando Bolsonaro. Sua verborragia criminosa de extrema-direita é notória há mais de…"
"438","RT @CarlosBolsonaro: É a primeira vez que vejo um ditador querer armar a população, seguir o que as leis determinam, prestar contas claras…"
"439","RT @jfurtado2222: Bolsonaro não deu nem para o começo. 

https://t.co/Jf99iR2MTt https://t.co/2nhNVvq7cz"
"440","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"441","TEM VÍDEO DO BOLSONARO COMEDOR DE GENTE https://t.co/irvMfAQ6GK"
"442","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"443","É a onda por uma nova política!! O povo escolheu. https://t.co/b3rB9zeNA5"
"444","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"445","@ShortCintia @folha E se fosse o Bolsonaro , fazendo a brincadeira ? Não teria perdão ..... Q esse jornalista se foda!!!"
"446","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"447","RT @guizolherme: espero que bolsonaro legalize o porte de armas para eu matar kpopper na bala"
"448","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"449","RT @teresinhalopes: Se o Bolsonaro tem pés de barro segundo jirnslistas por usar verbas legais ( usa dinheiro público legalizado em lei ),…"
"450","RT @CarlosBolsonaro: É a primeira vez que vejo um ditador querer armar a população, seguir o que as leis determinam, prestar contas claras…"
"451","RT @jose_simao: Bolsonaro contrata exorcista para se livrar de funcionária fantasma! @revistapiaui https://t.co/Njarmf7DWi"
"452","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"453","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"454","RT @FOlCEDESP: Bolsonaro assedia moça que de tão constrangida, fica imóvel https://t.co/O7XYJBh6JZ"
"455","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"456","RT @visaomacro: Mais uma vez estão olhando uma árvore e esquecendo a floresta. Estão falando do gasto do Bolsonaro com passagem aérea mas e…"
"457","DEU A LOUCA NA SHEHERAZADE!!! COMPAROU LULA COM BOLSONARO https://t.co/OYE6qLZIRP"
"458","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"459","RT @GABRlELPlNHElRO: Estamos com vc, Bolsonaro https://t.co/2vDEEs49oV"
"460","RT @GuilhermeBoulos: Esse é o nível de Jair Bolsonaro. Deputado há 30 anos que quer se apresentar como novidade, não consegue responder a r…"
"461","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"462","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"463","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"464","Sabe o que é ridículo? Tu falar que não votaria no bolsonaro ai o outro ser humano vem com 500 pedras na mão dizend… https://t.co/mLQX0O3jqi"
"465","RT @leandroruschel: Juízes federais que julgarão o meliante Lula retiram familiares de POA após receber ameaças, mas a imprensa esquerdopat…"
"466","RT @visaomacro: Gastos com Passagens Aéreas dos Deputados em 2017

Entrei no site da Câmara e procurei a planilha com os gastos dos deputad…"
"467","RT @IvanValente: Bolsonaro se deteriorou na imprensa e entre seus seguidores.Depois de agredir e insultar uma jornalista dizendo q usava o…"
"468","RT @neusamandrade: Bolsonaro pode até não ser o mito, mas já tá fazendo milagre colocando gente pra finalmente aprender o gosto de trabalha…"
"469","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"470","@soabcampos @apyus É um jogo que ele não pode ganhar, se não se manifesta, ele é criticado, se ele se manifesta é c… https://t.co/d3suvl4gOM"
"471","""bolsonaro2018 ah bolsonaro isso bolsomito aquilo""

eu: https://t.co/4s7E2Bu08R"
"472","RT @srdeabo: Não da para levar a sério, o Bolsonaro fala zoando depois de centenas de perguntas idiotas ""Usei o dinheiro para comer gente""…"
"473","RT @CarlosBolsonaro: Aos amigos que insistem que entremos com processos: existem, mas os resultados são estes ou piores. Por fim, entendam…"
"474","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
"475","@folha Através de um Judiciário podre, na figura de Gilmar Mendes, espera-se q o voo tucano consiga aterrissar em B… https://t.co/dQQmWV7TpH"
"476","RT @jairbolsonaro: Análise dos últimos momentos, por Claudia Wild (Jornal Hora Extra - Goiânia). O Fenômeno Jair Bolsonaro: o único a empol…"
"477","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"478","RT @HugoAg0g0: A dúvida é se Bolsonaro, de fato um fenômeno, consegue se sustentar, sem TV, base partidária e recursos. Terá que quebrar to…"
"479","Policial Civil demonstra que Jair Bolsonaro é o maior embuste quando fala em segurança pública.
Onde ele estava... https://t.co/wBAo4UAnQ2"
"480","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"481","RT @Sabrina_NRF: Estou chocada c esse Twitter!!
Os ‘seguidores’ de Bolsonaro são tão alucinados qnt os de Lula. Se alguém fz algum comentár…"
"482","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"483","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"484","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"485","Com os jornais eliminando Aécio, Lula e Bolsonaro, preparem-se para o Alckmin em 2018. O inferno está próximo."
"486","RT @mvsmotta: ""Os fãs do Bolsonaro são um bando de xucros estúpidos que não lêem além da manchete"". 

Se são tudo isso mesmo então imagina…"
"487","RT @ConversaAfiada: Servidora fantasma de Bolsonaro teve mais atuação na Câmara que ele
- Sensacionalista https://t.co/bN9fBtZtFC"
"488","RT @jovensreacinhas: Como responder as perguntas feitas pela Folha de São Paulo?

a. Responder e provar que o jornal está mentindo.

b. Acu…"
"489","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"490","RT @rcp01: Bolsonaro contra todos https://t.co/AXqibX3gM2"
"491","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"492","RT @DCM_online: VÍDEO: “Usei o dinheiro do auxílio moradia pra comer gente, tá satisfeita?”, diz Bolsonaro à repórter da Folha https://t.co…"
"493","RT @TonyStarkMeta: Se só o Palocci tinha. 1,3 bilhões, de DÓLARES. 
Imagina o chefe. O Molusco. 

Vamos calcular que tivesse ele tivesse o…"
"494","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
"495","eu queria ter essa ctz dos eleitores do Bolsonaro sinceramente"
"496","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"497","RT @DCM_online: VÍDEO: “Usei o dinheiro do auxílio moradia pra comer gente, tá satisfeita?”, diz Bolsonaro à repórter da Folha https://t.co…"
"498","RT @brsemcomunas: Fechado com Bolsonaro.
O inimigo é a esquerda podre.
Comunistas imundos não prestam! https://t.co/3xHffQOPLr"
"499","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"500","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"501","@BlogdoNoblat E muita falta de opção com esse monte de sopa de letrinhas. PT, pmdb, psdb, pc do b, psb, socooooooor… https://t.co/CK5RVDp7ls"
"502","passa anos falando contra o PT e a esquerda e na eleição definitiva vai la e vota em candidato esquerdista pq o bol… https://t.co/JnWiMw8She"
"503","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"504","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"505","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"506","RT @FOlCEDESP: Bolsonaro assedia moça que de tão constrangida, fica imóvel https://t.co/O7XYJBh6JZ"
"507","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"508","@BolsonaroSP Eduardo Bolsonaro. Jair Bolsonaro agindo dessa forma esta demonstrando um fraqueza política. Sou Bolso… https://t.co/M0GzYoehzk"
"509","RT @syk4ryo: @PauloVillella @dilmabr Você acha que está usando a Lava Jato e o Bolsonaro em seu benefício e em benefício do Brasil.

Na ver…"
"510","A dúvida é se Bolsonaro, de fato um fenômeno, consegue se sustentar, sem TV, base partidária e recursos. Terá que q… https://t.co/jmPDLL5Ehx"
"511","Todos acham que expor a vida privada é ruim mas, por ser publico, o privado já vai ficando um pouco complicado de s… https://t.co/tdMIT7HUF4"
"512","RT @PartidoMemista: REPRESENTATIVIDADE: Jair Bolsonaro abre a causa póstuma e começa a contratar funcionários fantasmas: ""Só porque a pesso…"
"513","cara ..num veste a criança com roupa de Bolsonaro nao bixão"
"514","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"515","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"516","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"517","RT @CaueZanata: @victorveiga78 @radiobandnewsfm Os outros deputados são imaculados... só o Bolsonaro faz essas maracutaias... e graças à el…"
"518","RT @FOlCEDESP: Bolsonaro assedia moça que de tão constrangida, fica imóvel https://t.co/O7XYJBh6JZ"
"519","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"520","Lula usou dinheiro público pra gente poder comer. Bolsonaro usou dinheiro público pra comer gente."
"521","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"522","RT @Leonardobulho: Bolsonaro é pego dirigindo a carreta que foi assaltada do Caetano Veloso. https://t.co/NeepQza1zB"
"523","RT @braunermegda: ah pronto, tem eleitor do bolsonaro brigando nas minhas mentions

vou twittar agora de uma maneira pra q eles entendam: O…"
"524","RT @Leonardobulho: Bolsonaro é pego dirigindo a carreta que foi assaltada do Caetano Veloso. https://t.co/NeepQza1zB"
"525","RT @livinginsalt: ""o bolsonaro com essa entrevista vai perder voto, pra quem se diz cristão falar que usava dinheiro pra comer mulher pega…"
"526","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"527","Sheherazade VS Bolsonaro https://t.co/4EK6NPsHFw via @YouTube"
"528","RT @Brasil_64: Aí aparece uns arrombados pra fazer críticas das viagens do Bolsonaro, olha isso <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
Suplentes recebem até R$ 67 mil para de…"
"529","RT @ajulysantos: Tenho muitos amigos que apoiam Jair Bolsonaro e fiz muitos amigos apoiando Jair Bolsonaro. Espero não perdê-los!"
"530","Na PB, movimento de direita cobra respeito de Bolsonaro e repudia Julian Lemos https://t.co/dBD1OwXPMX"
"531","RT @Castro2Monica: Já pararam pra pensar que o Bolsonaro, defensor da moral, da ética e dos bons costumes é acumulador de patrimônio milion…"
"532","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"533","Aí aparece uns arrombados pra fazer críticas das viagens do Bolsonaro, olha isso <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
Suplentes recebem até R$ 67 mi… https://t.co/vlEtBIP9O4"
"534","O ridículo dos idólatras de políticos https://t.co/bBbr9wmYd2"
"535","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"536","RT @JornalOGlobo: Declarações de Bolsonaro sobre sonegação e auxílio-moradia poderiam resultar em processos. https://t.co/feKVxo3eed https:…"
"537","Delegado morto p Bandidos.....Trabalhador morto p bandidos somente p ter entrado errado na favela......VOTA NO BOLS… https://t.co/iCG0RxaVj0"
"538","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"539","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
"540","@RenovaMidia @mrcarlaoadc PODE SER! BOLSONARO 2018"
"541","Bolsonaro rebate repórter e diz que usava dinheiro do auxílio-moradia para “comer gente” https://t.co/4Wa86xBd9Q"
"542","RT @blogdosakamoto: A Folha publica uma série de reportagens sobre o patrimônio da família Bolsonaro. Ato contínuo, seus seguidores nas red…"
"543","RT @Ranyer_Chagas: Acho que é perda de tempo discutir sobre Lula e bolsonaro"
"544","RT @Estadao: Em campanha, Bolsonaro gasta 39% a mais com voos pagos pela Câmara: https://t.co/c3S197uXiX https://t.co/AIra1srWuf"
"545","@PauloVillella @dilmabr Você acha que está usando a Lava Jato e o Bolsonaro em seu benefício e em benefício do Bras… https://t.co/sWJWjTtBss"
"546","RT @RevistaISTOE: O manual petista de Bolsonaro https://t.co/fIm9SRn0EJ https://t.co/rt9lAZgs6d"
"547","RT @jairbolsoneca: As Aventuras de Jair Bolsonaro. Episódio de hoje: ""Esse dinheirinho é bom."" https://t.co/SoOYQWRPG9"
"548","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"549","RT @jfurtado2222: Bolsonaro não deu nem para o começo. 

https://t.co/Jf99iR2MTt https://t.co/2nhNVvq7cz"
"550","RT @jairbolsoneca: As Aventuras de Jair Bolsonaro. Episódio de hoje: ""A Folha é comunista!""

Participação especial: Carlton Banks. https://…"
"551","RT @superbiafrinha: @BlogOlhoNaMira Lembra quando falei do Quarto Poder? 

Já era. O Bolsonaro teve a ousadia de ameaçar esse ramo corporat…"
"552","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"553","RT @trxoyecosmics: Bolsonaro: odeio trompetes 

Eu:  https://t.co/NDdIZ96VNT"
"554","RT @mafiasummer: Esse final de semana eu refleti sobre porque eu vou votar no Bolsonaro e cheguei à algumas conclusões. 

Eu poderia votar…"
"555","RT @FOlCEDESP: Bolsonaro assedia moça que de tão constrangida, fica imóvel https://t.co/O7XYJBh6JZ"
"556","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"557","Mais que candidato Bolsonaro é um símbolo vivo da nossa insatisfação ao que se tornou o país. https://t.co/OWlQXOLNIr"
"558","RT @ajulysantos: Para a política brasileira eu quero mudanças, venho lutando por isso faz tempo, mas o fato de - apenas - não estar na Lava…"
"559","RT @apyus: Eu sinceramente acho que, ao menos do lado de cá, o pessoal anda mais indignado com a truculência da militância do que com Bolso…"
"560","RT @RMendonca09: Dias atrás, o país ficou sabendo que Bolsonaro recebe auxílio-moradia mesmo tendo imóvel em Brasília. Estranho, né? Por qu…"
"561","RT @EricAmaral10: Na sua opinião, Bolsonaro é de:"
"562","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"563","@PaulaLavigne Me coloque num ringue com esse cara, não irei pra prisão e se for, antes ele dormirá o sono dos idiot… https://t.co/ps6nO1LJsD"
"564","RT @jcwmorsch: ""BOLA DA VEZ"" :

Bolsonaro é a ""bola da vez"" se tornou uma pedra no sapato para as pretensões eleitorais dos golpistas do PS…"
"565","@Estadao Duvido a folha, o Estadão e compania ficarem 1 semana sem falae do Bolsonaro ! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Acho que eles ainda nao… https://t.co/awAddrD1D3"
"566","RT @moura_101: BOLSONARO - Na MANXÃO DO MAMÃO!!! https://t.co/VikFVP9RT3 via @YouTube"
"567","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"568","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"569","RT @HugoAg0g0: A Lava Jato teve como efeito eleitoral a radicalização de parte da classe média, que antes votava 45 por falta de opção. Hoj…"
"570","RT @TonyStarkMeta: Se só o Palocci tinha. 1,3 bilhões, de DÓLARES. 
Imagina o chefe. O Molusco. 

Vamos calcular que tivesse ele tivesse o…"
"571","RT @Fabi_Aguiar_: Rachel ""Sherazade"" a jornalista c nome de Pokémon, tá achando que irá evoluir ficar atacando Bolsonaro,  mas quem na verd…"
"572","RT @radiobandnewsfm: O deputado federal Jair Bolsonaro aumenta em 39% os gastos com passagens aéreas pagas com dinheiro público da Câmara.…"
"573","RT @Vivihtuitando: Agora o Grupo Abril resolveu acabar com a candidatura de Bolsonaro. Seria um surto de probidade? Não, por óbvio. Se assi…"
"574","@vazpraonde =') um casalzão desse até bolsonaro shippa"
"575","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"576","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"577","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"578","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"579","@AldirSelent @JC_RS Qual a obra do Bolsonaro? Fazer apoio com o pescoço? Bater continência a bandeira americana e u… https://t.co/ikIXTjZ5sH"
"580","RT @bozo_naro: BOLSONARO HIPÓCRITA https://t.co/ZJYzI4Z7y5"
"581","Pensando aqui na manchete da Folha/UOL: ""Filho de Bolsonaro, também Dep. Federal, usa a verba de gabinete p/desperd… https://t.co/uKGEpIPitd"
"582","RT @BernardoMF: Deputado há 27 anos, Bolsonaro vende a ideia de que é diferente dos outros políticos. Isso explica seu descontrole quando a…"
"583","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"584","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"585","RT @correiodobrasil: ‘Racista e mentiroso’, Bolsonaro vai na linha de Hitler, dizem jornalistas https://t.co/YKQyJgGHue https://t.co/IVGyLC…"
"586","RT @rcp01: Não adianta! Quanto mais batem, mais Jair BOLSONARO se AGIGANTA!! https://t.co/0RJ3ZQsphm"
"587","@FOlCEDESP Mais uma fale news, porquê vcs tem medo do BOLSONARO?"
"588","RT @PartidoMemista: REPRESENTATIVIDADE: Jair Bolsonaro abre a causa póstuma e começa a contratar funcionários fantasmas: ""Só porque a pesso…"
"589","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"590","RT @FOlCEDESP: Bolsonaro assedia moça que de tão constrangida, fica imóvel https://t.co/O7XYJBh6JZ"
"591","RT @ConversaAfiada: Servidora fantasma de Bolsonaro teve mais atuação na Câmara que ele
- Sensacionalista https://t.co/bN9fBtZtFC"
"592","@jairbolsonaro Todos os dias é sábado de aleluia e Bolsonaro é Judas, batem pela falta de ideias, pela falta de sor… https://t.co/lpEGDHGFCg"
"593","RT @flaviogomes69: Num primeiro momento, não acreditei. Depois, li a entrevista na íntegra. Não é possível que alguém que tenha mais de doi…"
"594","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"595","RT @jcwmorsch: ""BOLA DA VEZ"" :

Bolsonaro é a ""bola da vez"" se tornou uma pedra no sapato para as pretensões eleitorais dos golpistas do PS…"
"596","RT @RenovaMidia: Jornalista Luize Valente sobre ascensão de Bolsonaro:

""O que está a acontecer hoje com Jair Bolsonaro é como a ascensão d…"
"597","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"598","RT @joomikhail: O povo do RJ elegeu os deputados ..

-Eduardo Cunha
-Jair Bolsonaro 
-Cristiane Brasil 

O povo de SP elegeu 

-Paulo Maluf…"
